City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Barinas,VE,80.42,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
397,Benguela,AO,81.59,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
399,Maningrida,AU,81.28,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
400,Umm Lajj,SA,82.94,clear sky,25.0213,37.2685,Moon light Furnished Units
404,Kavaratti,IN,86.32,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
405,Ishigaki,JP,80.29,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
407,Champerico,GT,79.34,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
409,Omboue,GA,83.46,light rain,-1.5746,9.2618,Hotel Olako
411,Dicabisagan,PH,79.79,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
412,Tocantins,BR,84.49,clear sky,-10.5,-48.0,
413,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
415,Jiwani,PK,87.8,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
417,Simbahan,PH,81.86,overcast clouds,6.3032,120.5836,
419,Badou,TG,85.42,overcast clouds,7.5833,0.6,Hôtel Abuta
421,Caravelas,BR,81.43,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
423,Gamba,GA,84.38,overcast clouds,-2.65,10.0,
424,Labuan,MY,83.16,heavy intensity rain,5.2767,115.2417,Tiara Labuan Hotel
432,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
433,Tevaitoa,PF,81.57,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
437,Vaitape,PF,81.36,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
438,Niteroi,BR,85.66,clear sky,-22.8833,-43.1036,Hotel Viareggio
442,Nurota,UZ,83.61,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
445,Makokou,GA,88.14,light rain,0.5738,12.8642,Hôtel
452,Nalut,LY,88.0,clear sky,30.3333,10.85,
458,Funadhoo,MV,85.98,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
461,Grand Gaube,MU,81.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
463,Manavalakurichi,IN,84.96,overcast clouds,8.1333,77.3,Jebinrio home
465,Bambanglipuro,ID,79.9,overcast clouds,-7.95,110.2833,Puri Brata
468,Camapua,BR,83.41,clear sky,-19.5314,-54.0439,Comercial Estrela
469,Pervomayskoye,RU,77.41,broken clouds,43.919,46.7102,
471,Luau,AO,79.83,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
477,Pandan,PH,79.93,broken clouds,14.0453,124.1694,Bonifacio Lodge
479,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
484,Bocas Del Toro,PA,77.81,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
485,Puerto Rondon,CO,77.47,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
488,Lorengau,PG,82.35,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
494,Nishihara,JP,78.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
495,Itarema,BR,83.73,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
504,Barceloneta,PR,81.95,broken clouds,18.4505,-66.5385,Manati World Point Inn
508,Ashqelon,IL,78.78,clear sky,31.6693,34.5715,Leonardo Ashkelon
512,Kpalime,TG,81.1,overcast clouds,6.9,0.6333,Hotel La Lumiere Kpalimé
513,Boende,CD,79.07,light rain,-0.2167,20.8667,
514,Harper,LR,83.62,moderate rain,4.375,-7.7169,Screensaver
515,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
522,Martapura,ID,82.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
523,Priyutnoye,RU,75.15,broken clouds,46.1011,43.5072,
525,Totness,SR,82.31,moderate rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
527,Mineros,BO,77.5,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
528,Kieta,PG,79.68,few clouds,-6.2167,155.6333,Uruna Bay Retreat
529,Daru,PG,80.55,overcast clouds,-9.0763,143.2092,Daru Lodge
530,Sorong,ID,80.19,light rain,-0.8833,131.25,Waigo Splash Hotel
531,Vila Velha,BR,85.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
533,Nago,JP,79.23,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
535,Buala,SB,80.91,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
539,Sambava,MG,81.32,clear sky,-14.2667,50.1667,Melrose
542,Thinadhoo,MV,85.1,overcast clouds,0.5333,72.9333,
545,Tautira,PF,81.07,light rain,-17.7333,-149.15,Pension Oaoa
547,Canutama,BR,81.55,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
548,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
549,Maragogi,BR,81.77,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
555,Riberalta,BO,80.8,broken clouds,-10.9833,-66.1,Hotel Colonial
556,Buraydah,SA,82.38,light rain,26.326,43.975,Mövenpick Qassim
559,Lastoursville,GA,84.79,light rain,-0.8143,12.7287,Auberge Bon Coin 02
560,Alyangula,AU,81.7,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
562,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
564,Baculin,PH,77.18,light rain,7.4525,126.5842,Baculin Cove Beach Resort
565,Yarada,IN,88.12,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
566,Aboso,GH,77.58,overcast clouds,5.3617,-1.9473,New Atuabo
568,Auki,SB,78.01,overcast clouds,-8.7676,160.7034,Auki Motel
570,Fort Wellington,GY,81.9,light rain,6.4,-57.6,TE'AMO Entertainment Park
572,Kang,BW,77.18,broken clouds,-23.6752,22.7876,Kang Ultra Stop
579,Santa Rosa,PH,87.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
