City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Coahuayana,MX,18.7333,-103.6833,73.0,55,42,2.57,scattered clouds
138,Nome,US,64.5011,-165.4064,35.67,80,100,13.8,overcast clouds
139,Andros Town,BS,24.7,-77.7667,76.96,63,0,7.74,clear sky
140,Chokurdakh,RU,70.6333,147.9167,-6.88,100,88,3.65,overcast clouds
141,Bengkulu,ID,-3.8004,102.2655,79.43,84,100,3.29,light rain
142,Nikolskoye,RU,59.7035,30.7861,43.88,36,100,8.32,overcast clouds
143,Naze,JP,28.3667,129.4833,72.66,92,20,8.3,few clouds
144,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.74,84,100,9.42,overcast clouds
145,Hamilton,US,39.1834,-84.5333,45.93,59,75,11.5,broken clouds
146,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,82,20,13.8,few clouds
147,Muisne,EC,0.6,-80.0333,76.87,88,100,7.38,light rain
148,Sokoto,NG,13.0609,5.239,101.35,17,91,7.78,overcast clouds
149,Tsabong,BW,-26.0217,22.401,80.13,31,56,12.82,broken clouds
150,Kidal,ML,18.4411,1.4078,96.15,5,0,8.52,clear sky
151,Saryg-Sep,RU,51.5,95.6,44.69,48,62,2.77,broken clouds
152,Magadan,RU,59.5667,150.8,29.21,69,100,12.97,overcast clouds
153,Mingyue,CN,43.1069,128.9217,43.57,34,100,2.64,overcast clouds
154,Nkhata Bay,MW,-11.6066,34.2907,75.47,71,41,11.52,scattered clouds
155,Agua Verde,MX,22.9,-106.05,64.49,76,1,2.64,clear sky
156,Lakes Entrance,AU,-37.8811,147.981,62.17,83,71,4.97,broken clouds
157,Bandarbeyla,SO,9.4942,50.8122,86.49,67,6,11.32,clear sky
158,Hithadhoo,MV,-0.6,73.0833,85.71,68,100,7.14,light rain
159,La Ronge,CA,55.1001,-105.2842,31.91,94,98,4.74,overcast clouds
160,Bambous Virieux,MU,-20.3428,57.7575,81.21,88,75,6.91,broken clouds
161,Yantal,RU,56.8471,105.2542,28.56,92,17,1.95,few clouds
162,Villiers,ZA,-27.0303,28.6006,68.05,21,0,10.38,clear sky
163,Richards Bay,ZA,-28.783,32.0377,77.13,52,0,10.47,clear sky
164,Birjand,IR,32.8663,59.2211,80.46,20,45,11.32,scattered clouds
165,Rocky Mountain House,CA,52.3668,-114.9188,30.99,74,6,2.93,clear sky
166,Jamestown,US,42.097,-79.2353,36.01,80,40,8.05,scattered clouds
167,Dubbo,AU,-32.25,148.6167,62.73,100,100,8.05,overcast clouds
168,Mehamn,NO,71.0357,27.8492,26.51,68,75,27.63,broken clouds
169,Yara,CU,20.2753,-76.9533,74.89,67,11,10.25,light rain
170,Maxixe,MZ,-23.8597,35.3472,73.89,65,30,7.9,light rain
171,Saint George,US,37.1041,-113.5841,66.94,22,0,10.36,clear sky
172,Komsomolskiy,UZ,40.4272,71.7189,79.52,25,100,4.61,overcast clouds
173,Viron,FR,46.1892,-0.3173,68.14,54,97,7.05,overcast clouds
174,Torbay,CA,47.6666,-52.7314,42.89,90,100,4.61,overcast clouds
175,Port-Gentil,GA,-0.7193,8.7815,81.73,73,60,7.07,broken clouds
176,Victoria,HK,22.2855,114.1577,85.17,81,5,10.0,clear sky
177,Tilichiki,RU,60.4667,166.1,33.4,79,100,13.27,overcast clouds
178,Buin,CL,-33.7333,-70.75,56.05,48,13,3.85,few clouds
179,Kaitangata,NZ,-46.2817,169.8464,48.43,92,92,2.21,overcast clouds
180,Maymyo,MM,22.0333,96.4667,79.79,26,1,2.26,clear sky
181,Saskylakh,RU,71.9167,114.0833,24.46,89,100,14.14,overcast clouds
182,Port Elizabeth,ZA,-33.918,25.5701,79.11,43,0,8.41,clear sky
183,Kuandian,CN,40.7286,124.7847,43.54,66,100,5.3,overcast clouds
184,Manama,BH,26.2154,50.5832,89.78,45,15,11.5,few clouds
185,Wladyslawowo,PL,54.7909,18.4009,58.93,55,11,6.15,few clouds
186,Baykit,RU,61.67,96.37,38.71,98,100,4.7,overcast clouds
187,Soderhamn,SE,61.3037,17.0592,53.96,25,100,14.92,overcast clouds
188,Snasa,NO,64.2457,12.3778,36.79,86,100,10.69,overcast clouds
189,Naryan-Mar,RU,67.6713,53.087,26.08,82,100,19.86,overcast clouds
190,Andijon,UZ,40.7821,72.3442,79.88,23,100,5.35,overcast clouds
191,Yumen,CN,40.2833,97.2,56.62,17,71,13.56,broken clouds
192,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,70,0,11.65,clear sky
193,Warri,NG,5.5167,5.75,88.7,55,100,1.97,overcast clouds
194,Iqaluit,CA,63.7506,-68.5145,16.7,78,100,15.99,overcast clouds
195,Cidreira,BR,-30.1811,-50.2056,75.11,79,4,4.38,clear sky
196,Luderitz,NA,-26.6481,15.1594,71.01,49,0,8.68,clear sky
197,Hasaki,JP,35.7333,140.8333,55.8,62,0,9.51,clear sky
198,Fort Nelson,CA,58.8053,-122.7002,33.39,93,100,8.05,mist
199,Xinyu,CN,27.8043,114.9334,67.86,95,100,13.56,moderate rain
200,Lemoore,US,36.3008,-119.7829,52.02,52,0,13.8,clear sky
201,Tocoa,HN,15.6833,-86.0,76.62,92,26,0.85,scattered clouds
202,Wagar,SD,16.1525,36.2032,104.11,10,6,10.63,clear sky
203,Mangan,IN,27.5167,88.5333,71.44,89,51,1.34,broken clouds
204,Katsuura,JP,35.1333,140.3,59.02,76,52,10.89,broken clouds
205,Havoysund,NO,70.9963,24.6622,26.83,60,100,26.49,light snow
206,Suoyarvi,RU,62.0833,32.35,37.6,47,100,9.8,overcast clouds
207,Klyuchi,RU,52.2667,79.1667,70.79,32,13,5.53,few clouds
208,Hofn,IS,64.2539,-15.2082,48.22,76,100,5.75,overcast clouds
209,Puerto Escondido,MX,15.85,-97.0667,77.83,83,0,8.05,clear sky
210,Vardo,NO,70.3705,31.1107,26.58,74,65,20.71,light snow
211,Coquimbo,CL,-29.9533,-71.3436,58.73,67,0,4.61,clear sky
212,Urumqi,CN,43.801,87.6005,61.75,20,20,8.95,few clouds
213,Namuac,PH,18.6109,121.1657,81.91,83,15,4.56,few clouds
214,Avarua,CK,-21.2078,-159.775,78.85,89,20,8.05,few clouds
215,Tabou,CI,4.423,-7.3528,85.12,70,100,10.07,moderate rain
216,Matara,LK,5.9485,80.5353,81.88,76,97,6.51,overcast clouds
217,Codrington,AU,-38.2667,141.9667,67.35,65,5,16.46,clear sky
218,Salalah,OM,17.0151,54.0924,86.04,67,97,9.26,overcast clouds
219,Jingdezhen,CN,29.2947,117.2079,65.97,97,100,10.07,moderate rain
220,Jaguariaiva,BR,-24.2511,-49.7058,73.9,67,14,6.33,few clouds
221,Mecca,SA,21.4267,39.8261,94.51,33,12,18.92,light rain
222,Lisieux,FR,49.1667,0.1667,62.33,56,76,10.54,broken clouds
223,Rognan,NO,67.0953,15.3878,35.76,60,100,14.43,light rain
224,Bucerias,MX,20.75,-105.3333,71.98,94,0,0.0,clear sky
225,Mezen,RU,65.8522,44.24,32.79,65,100,12.33,light snow
226,Tura,IN,25.5198,90.2201,80.58,63,0,4.72,clear sky
227,Abnub,EG,27.2696,31.1511,97.57,4,3,12.48,clear sky
228,Guerrero Negro,MX,27.9769,-114.0611,56.98,86,3,12.91,clear sky
229,Chabahar,IR,25.2919,60.643,88.66,56,0,19.69,clear sky
230,Talnakh,RU,69.4865,88.3972,17.19,92,66,2.1,broken clouds
231,Mantua,IT,45.1667,10.7833,71.35,49,30,5.99,scattered clouds
232,Cobija,BO,-11.0267,-68.7692,84.38,79,20,0.0,few clouds
233,Gushikawa,JP,26.3544,127.8686,78.39,89,20,11.5,few clouds
234,Sola,VU,-13.8833,167.55,80.98,79,100,11.88,overcast clouds
235,Dhankuta,NP,26.9833,87.3333,76.71,45,65,3.6,broken clouds
236,Russell,US,32.3502,-85.1999,62.96,67,0,0.0,clear sky
237,Acapulco,MX,16.8634,-99.8901,78.46,65,1,3.22,clear sky
238,Trat,TH,12.5,102.5,84.87,86,100,3.33,overcast clouds
239,Nabire,ID,-3.3667,135.4833,76.59,93,100,3.27,heavy intensity rain
240,San Quintin,MX,30.4833,-115.95,56.89,75,100,10.49,overcast clouds
241,Arlit,NE,18.7369,7.3853,99.34,6,87,11.99,overcast clouds
242,Geraldton,AU,-28.7667,114.6,63.01,88,40,11.5,scattered clouds
243,Cabo San Lucas,MX,22.8909,-109.9124,77.31,32,0,11.5,clear sky
244,Nagua,DO,19.3832,-69.8474,77.05,78,20,0.0,few clouds
245,Gamboma,CG,-1.8764,15.8644,82.04,72,98,1.92,moderate rain
246,Umm Kaddadah,SD,13.6017,26.6876,105.67,5,8,13.06,clear sky
247,Rocha,UY,-34.4833,-54.3333,59.45,71,100,3.38,overcast clouds
248,Provideniya,RU,64.3833,-173.3,22.68,88,25,10.42,scattered clouds
249,Santa Cruz Do Sul,BR,-29.7175,-52.4258,73.6,88,100,5.08,moderate rain
250,Turbat,PK,26.0023,63.044,106.45,10,0,16.24,clear sky
251,Shimoda,JP,34.6667,138.95,60.69,73,95,12.86,overcast clouds
252,Lucea,JM,18.451,-78.1736,79.86,70,94,11.27,overcast clouds
253,Chebenki,RU,51.9337,55.7077,78.55,37,100,12.5,overcast clouds
254,Khatanga,RU,71.9667,102.5,30.76,87,100,16.4,overcast clouds
255,Ibra,OM,22.6906,58.5334,99.84,11,2,15.17,clear sky
256,Banda Aceh,ID,5.5577,95.3222,83.05,80,97,8.66,overcast clouds
257,Mar Del Plata,AR,-38.0023,-57.5575,51.87,66,20,18.01,few clouds
258,Nan,TH,18.8333,100.6667,87.3,47,31,2.04,scattered clouds
259,Klaksvik,FO,62.2266,-6.589,47.32,76,83,4.99,broken clouds
260,Leshukonskoye,RU,64.8989,45.7622,32.68,68,100,8.97,light snow
261,Akyab,MM,20.15,92.9,83.68,79,5,11.7,clear sky
262,Brae,GB,60.3964,-1.353,47.55,68,100,10.25,overcast clouds
263,Zambezi,ZM,-13.5432,23.1047,79.83,42,99,10.8,overcast clouds
264,Chivay,PE,-15.6383,-71.6011,53.4,30,45,4.54,scattered clouds
265,Ixtapa,MX,20.7,-105.2,71.22,94,0,0.0,clear sky
266,Asind,IN,25.7333,74.3333,100.83,11,4,9.64,clear sky
267,Impfondo,CG,1.6381,18.0667,87.33,54,84,3.24,broken clouds
268,Guangyuan,CN,32.442,105.823,63.68,65,1,2.33,clear sky
269,Tabuk,PH,17.4189,121.4443,79.32,78,31,4.83,scattered clouds
270,Lata,PT,40.1629,-8.3327,72.48,47,0,7.54,clear sky
271,Clyde River,CA,70.4692,-68.5914,5.13,76,23,5.91,few clouds
272,Mahebourg,MU,-20.4081,57.7,81.25,88,75,6.91,broken clouds
273,Pisco,PE,-13.7,-76.2167,64.45,88,20,2.3,mist
274,Tete,MZ,-16.1564,33.5867,81.5,47,95,8.05,overcast clouds
275,Kysyl-Syr,RU,63.8986,122.7617,17.28,94,32,2.08,scattered clouds
276,Mushie,CD,-3.0167,16.9,79.02,80,88,3.22,light rain
277,Tezu,IN,27.9167,96.1667,77.09,60,2,4.7,clear sky
278,Assiniboia,CA,49.6334,-105.9845,41.94,77,42,6.15,scattered clouds
279,Methala,IN,10.2166,76.2166,80.6,74,30,5.08,moderate rain
280,Tromso,NO,69.6496,18.957,28.42,74,100,31.07,overcast clouds
281,Opava,CZ,49.9387,17.9026,61.9,72,93,11.99,overcast clouds
282,Shumikha,RU,55.2261,63.2961,71.67,36,41,14.74,scattered clouds
283,Yingkou,CN,40.6648,122.2283,47.16,69,100,6.17,overcast clouds
284,Iranshahr,IR,27.2025,60.6848,87.71,29,82,27.34,broken clouds
285,Cody,US,44.5263,-109.0565,36.03,93,75,8.05,mist
286,Weatherford,US,32.7593,-97.7972,66.09,89,100,1.99,overcast clouds
287,Hami,CN,42.8,93.45,65.55,11,100,8.99,overcast clouds
288,Dukat,RU,62.55,155.55,21.83,97,100,9.31,overcast clouds
289,Flinders,AU,-34.5833,150.8552,65.17,90,100,5.99,overcast clouds
290,Coolum Beach,AU,-26.5333,153.1,70.34,96,100,7.99,overcast clouds
291,Kahului,US,20.8947,-156.47,73.85,78,0,10.0,clear sky
292,Dhidhdhoo,MV,6.8833,73.1,85.6,68,61,1.03,broken clouds
293,Comalcalco,MX,18.2667,-93.2167,76.46,80,2,2.89,clear sky
294,Bilibino,RU,68.0546,166.4372,17.31,95,100,3.67,overcast clouds
295,Airai,TL,-8.9266,125.4092,60.28,93,69,1.36,broken clouds
296,Prainha,BR,-1.8,-53.48,81.45,74,95,5.39,overcast clouds
297,Merauke,ID,-8.4667,140.3333,80.04,84,99,11.63,overcast clouds
298,Dukhovnitskoye,RU,52.4828,48.2137,51.87,63,46,11.27,scattered clouds
299,Saldanha,ZA,-33.0117,17.9442,65.01,63,36,10.22,scattered clouds
300,Sonoita,MX,31.85,-112.8333,60.37,39,0,8.88,clear sky
301,Vilyuysk,RU,63.7553,121.6247,23.9,94,100,2.46,overcast clouds
302,Tupik,RU,54.4253,119.9327,34.68,62,62,14.45,broken clouds
303,Husavik,IS,66.0449,-17.3389,45.21,62,24,0.98,few clouds
304,Houma,US,29.5958,-90.7195,66.0,79,0,5.75,clear sky
305,Requena,ES,39.4883,-1.1004,57.87,85,100,5.06,overcast clouds
306,Augusto Correa,BR,-1.0217,-46.635,80.92,89,65,4.83,broken clouds
307,Rawson,AR,-43.3002,-65.1023,45.21,47,2,22.73,clear sky
308,Gazimurskiy Zavod,RU,51.5461,118.3266,35.65,34,100,2.64,overcast clouds
309,Haimen,CN,23.1935,116.6142,75.15,93,1,4.68,clear sky
310,Poum,NC,-20.2333,164.0167,72.79,88,100,12.86,overcast clouds
311,Faanui,PF,-16.4833,-151.75,81.36,71,8,23.91,light rain
312,Vanavara,RU,60.34,102.2797,33.89,89,100,5.1,overcast clouds
313,Nouakchott,MR,18.0858,-15.9785,93.13,26,0,6.15,clear sky
314,Macedo De Cavaleiros,PT,41.5382,-6.9611,66.63,40,65,7.09,broken clouds
315,Ulundi,ZA,-28.3352,31.4162,75.11,37,0,4.14,clear sky
316,Vostok,RU,46.4856,135.8833,29.68,82,32,3.6,scattered clouds
317,Bethel,US,41.3712,-73.414,44.15,55,13,1.99,few clouds
318,Margate,GB,51.3813,1.3862,57.31,65,94,5.99,overcast clouds
319,Nam Dinh,VN,20.4167,106.1667,76.73,94,9,3.89,clear sky
320,Northam,GB,51.0333,-4.2167,55.26,70,100,8.52,overcast clouds
321,Yatou,CN,37.15,122.3833,46.29,86,100,11.52,moderate rain
322,Belmonte,BR,-15.8631,-38.8828,83.19,61,18,7.2,few clouds
323,Abha,SA,18.2164,42.5053,66.45,52,40,16.11,thunderstorm
324,Saint-Francois,FR,46.4154,3.9054,75.67,46,0,5.75,clear sky
325,Jacareacanga,BR,-6.2222,-57.7528,82.65,73,99,3.58,overcast clouds
326,Decatur,US,39.8403,-88.9548,53.98,71,100,12.66,light rain
327,Singaraja,ID,-8.112,115.0882,79.86,85,85,2.98,overcast clouds
328,Carutapera,BR,-1.195,-46.02,78.08,91,98,6.29,overcast clouds
329,Marsa Matruh,EG,31.3525,27.2453,73.31,45,0,12.15,clear sky
330,Alexander City,US,32.944,-85.9539,56.32,67,0,3.44,clear sky
331,Taoudenni,ML,22.6783,-3.9836,98.15,7,0,5.48,clear sky
332,Gryazi,RU,52.4966,39.9359,51.75,44,99,7.81,overcast clouds
333,Leningradskiy,RU,69.3833,178.4167,11.98,96,98,5.99,overcast clouds
334,Tadine,NC,-21.55,167.8833,74.66,79,100,19.62,light rain
335,Lae,PG,-6.7221,146.9847,77.72,83,100,1.77,overcast clouds
336,Hobyo,SO,5.3505,48.5268,87.01,63,97,13.38,overcast clouds
337,Rolante,BR,-29.6506,-50.5758,88.66,55,2,4.21,clear sky
338,Nenjiang,CN,49.1833,125.2167,43.14,37,33,7.58,scattered clouds
339,Borovoy,RU,55.4333,86.0833,65.48,20,0,8.95,clear sky
340,Buldana,IN,20.5333,76.1833,100.33,10,24,10.11,few clouds
341,Baie-Comeau,CA,49.2168,-68.1489,35.28,64,100,12.66,overcast clouds
342,Filadelfia,US,39.9523,-75.1638,44.11,50,100,16.11,overcast clouds
343,Odweyne,SO,9.4092,45.064,90.61,25,26,9.08,scattered clouds
344,Sioux Lookout,CA,50.1001,-91.917,28.87,90,100,5.14,overcast clouds
345,Korla,CN,41.7597,86.1469,58.64,39,66,5.88,light rain
346,Bantou,CN,26.2151,117.4893,75.16,88,0,3.18,clear sky
347,Port Hueneme,US,34.1478,-119.1951,56.57,87,100,1.01,overcast clouds
348,Yetkul,RU,54.8221,61.588,70.23,39,100,9.95,overcast clouds
